"IV1_race","IV2_diagnosis","condition","socialdistance_1","socialdistance_2","socialdistance_3","blame_1","blame_2","blame_3","danger_1","danger_2","danger_3","concern_1","concern_2","concern_3","help_1","help_2","gender","age","ethnicity","community","political_affiliation","contact_homeless","social_desirability"
1,1,1,7,7,7,2,2,6,1,1,1,5,5,7,7,4,1,18,2,2,3,5,10
1,1,1,6,7,7,3,2,5,1,1,1,5,5,6,5,4,2,20,1,2,1,3,7
1,1,1,3,5,6,2,1,7,2,1,1,5,6,6,4,3,2,19,2,2,2,2,0
1,1,1,5,6,6,6,4,4,2,1,2,1,2,3,6,6,1,44,2,2,3,3,10
1,1,1,4,7,7,2,2,5,2,2,1,7,7,7,2,1,2,37,5,2,1,1,4
1,1,1,4,5,5,4,3,4,4,4,4,5,5,6,2,2,2,49,2,2,3,1,8
1,1,1,7,7,6,4,3,6,1,2,1,7,7,7,4,6,2,20,2,1,1,4,4
1,1,1,7,6,7,4,3,4,1,1,1,4,3,1,6,5,1,19,2,1,1,3,8
1,1,1,4,6,5,3,3,5,4,3,4,3,6,5,7,6,2,30,3,3,2,2,5
1,1,1,5,4,6,2,2,6,2,4,2,5,6,6,4,3,2,20,2,1,1,2,5
1,1,1,7,6,7,1,1,2,1,1,1,4,5,5,6,5,2,27,2,2,2,3,11
1,1,1,6,4,5,3,2,2,3,2,4,NA,6,5,6,3,2,20,1,2,1,3,4
1,1,1,7,7,7,1,2,6,1,2,1,4,4,3,7,4,2,21,2,2,2,2,5
1,1,1,5,2,7,4,3,4,3,4,4,7,7,7,7,4,2,34,3,2,2,4,10
1,1,1,4,3,5,1,1,7,3,3,2,7,7,7,3,2,2,22,2,1,1,2,9
1,1,1,6,6,7,2,2,6,2,5,2,7,6,7,3,2,3,20,2,1,1,2,4
1,1,1,5,6,5,3,2,5,2,3,2,7,7,7,5,7,2,51,2,1,1,3,3
1,1,1,4,5,7,3,2,2,5,4,4,5,5,7,5,5,2,41,1,2,2,3,6
1,1,1,7,7,6,1,2,6,3,2,2,7,7,3,7,7,2,22,1,2,1,2,10
1,1,1,6,7,7,1,1,7,1,1,1,7,7,1,7,7,2,54,2,2,1,4,6
1,1,1,6,6,6,1,1,6,2,2,1,5,6,7,5,6,2,52,1,2,2,1,9
1,1,1,7,6,7,2,1,6,1,3,1,4,5,4,4,4,2,20,4,2,1,2,5
1,1,1,6,5,6,1,1,7,2,2,2,7,7,5,7,6,1,20,4,2,1,3,3
1,1,1,6,5,6,2,2,6,2,2,2,5,6,6,5,5,1,34,2,1,1,2,3
1,1,1,7,2,5,4,4,4,1,1,1,4,5,7,5,6,1,41,2,1,1,3,8
1,1,1,5,6,5,1,2,6,2,3,2,7,6,7,7,4,2,19,2,2,2,2,5
1,1,1,6,5,6,3,3,3,5,2,3,5,6,6,7,NA,2,51,1,2,2,6,12
1,1,1,5,5,5,1,1,6,2,2,1,7,7,7,5,4,2,21,2,4,1,5,8
1,1,1,5,5,7,3,2,6,2,3,2,6,6,7,7,6,2,49,1,2,1,3,9
1,1,1,6,3,4,4,3,4,4,1,4,4,5,4,5,4,2,33,1,2,2,4,8
1,1,1,5,4,6,2,2,6,3,4,2,6,6,6,3,3,2,53,2,3,1,1,1
1,1,1,7,3,5,3,3,5,2,4,3,5,5,6,4,3,2,22,2,1,1,2,3
