"Race_Condition","Diagnosis_Condition","Condition_Type","Social_Distance_Score_1","Social_Distance_Score_2","Social_Distance_Score_3","Blame_Attribution_1","Blame_Attribution_2","Blame_Attribution_3","Perceived_Danger_1","Perceived_Danger_2","Perceived_Danger_3","Concern_About_Impact_1","Concern_About_Impact_2","Concern_About_Impact_3","Help_Offering_1","Help_Offering_2","Gender_Participant","Age_of_Participant","Ethnicity_Participant","Community_Type","Political_Affiliation","Previous_Contact_with_Homeless_Population","Social_Desirability_Bias","Reverse_Social_Distance_1","Reverse_Social_Distance_2","Reverse_Social_Distance_3","Mean_Social_Distance","Reverse_Blaming_3","Mean_Blaming_Attribution","Mean_Perceived_Danger","Reverse_Concern_1","Reverse_Concern_2","Reverse_Concern_3","Mean_Concern_About_Impact","Reverse_Help_Offering_1","Reverse_Help_Offering_2","Mean_Help_Offering"
"1","1","1",7,7,7,2,2,6,1,1,1,5,5,7,7,4,"1",18,"2","2","3","5",10,1,1,1,1,2,2,1,3,3,1,2.33333333333333,1,4,2.5
"1","1","1",6,7,7,3,2,5,1,1,1,5,5,6,5,4,"2",20,"1","2","1","3",7,2,1,1,1.33333333333333,3,2.66666666666667,1,3,3,2,2.66666666666667,3,4,3.5
"1","1","1",3,5,6,2,1,7,2,1,1,5,6,6,4,3,"2",19,"2","2","2","2",0,5,3,2,3.33333333333333,1,1.33333333333333,1.33333333333333,3,2,2,2.33333333333333,4,5,4.5
"1","1","1",5,6,6,6,4,4,2,1,2,1,2,3,6,6,"1",44,"2","2","3","3",10,3,2,2,2.33333333333333,4,4.66666666666667,1.66666666666667,7,6,5,6,2,2,2
"1","1","1",4,7,7,2,2,5,2,2,1,7,7,7,2,1,"2",37,"5","2","1","1",4,4,1,1,2,3,2.33333333333333,1.66666666666667,1,1,1,1,6,7,6.5
"1","1","1",4,5,5,4,3,4,4,4,4,5,5,6,2,2,"2",49,"2","2","3","1",8,4,3,3,3.33333333333333,4,3.66666666666667,4,3,3,2,2.66666666666667,6,6,6
"1","1","1",7,7,6,4,3,6,1,2,1,7,7,7,4,6,"2",20,"2","1","1","4",4,1,1,2,1.33333333333333,2,3,1.33333333333333,1,1,1,1,4,2,3
"1","1","1",7,6,7,4,3,4,1,1,1,4,3,1,6,5,"1",19,"2","1","1","3",8,1,2,1,1.33333333333333,4,3.66666666666667,1,4,5,7,5.33333333333333,2,3,2.5
"1","1","1",4,6,5,3,3,5,4,3,4,3,6,5,7,6,"2",30,"3","3","2","2",5,4,2,3,3,3,3,3.66666666666667,5,2,3,3.33333333333333,1,2,1.5
"1","1","1",5,4,6,2,2,6,2,4,2,5,6,6,4,3,"2",20,"2","1","1","2",5,3,4,2,3,2,2,2.66666666666667,3,2,2,2.33333333333333,4,5,4.5
